15.49,28.77001381,17.89000893,95
15.49,28.89000893,17.73000526,95
15.49,28.79000282,17.68999672,95
16.6,28.61001015,17.52999306,80
16.6,28.49001503,17.4699955,80
16.6,28.18999672,17.30999184,80
16.6,27.9699955,17.17000771,80
17.16,27.85000038,16.85000038,80
17.16,27.52999306,16.68999672,80
16.6,27.30999184,16.52999306,80
16.6,27.11001015,16.33001137,80
16.6,26.90999794,16.17000771,80
16.6,26.67000771,15.9699955,80
16.05,26.45000648,15.85000038,80
16.05,26.33001137,15.8699894,80
16.05,26.3699894,15.77001381,86
16.05,26.3699894,15.70998573,86
15.49,26.39000893,15.70998573,86
15.49,26.17000771,15.74999428,86
16.05,26.01000404,15.61001015,86
16.05,25.85000038,15.45000648,86
16.05,25.49001503,15.20998573,86
16.05,25.18999672,14.80999184,86
15.49,24.95000648,14.70998573,86
15.49,24.64998817,14.40999794,86
14.93,24.35000038,14.29000282,86
14.93,24.02999306,14.01000404,86
14.93,23.73000526,13.74999428,89
14.93,23.3699894,13.49001503,89
14.38,23.08999062,13.24999428,89
14.38,22.74999428,12.9699955,89
14.38,22.40999794,12.5700016,89
14.38,21.80999184,12.12999916,89
13.82,21.33001137,11.85000038,89
13.82,20.83001137,11.70998573,89
13.82,20.3699894,11.30999184,89
13.82,19.9699955,10.92998695,89
13.82,19.67000771,10.89000893,89
13.82,19.42998695,10.74999428,89
13.27,19.23000526,10.5700016,91
13.27,19.08999062,10.4699955,91
13.27,19.08999062,10.3699894,91
13.27,19.0700016,10.23000526,91
13.27,19.05001259,10.17000771,91
13.27,19.02999306,10.18999672,91
13.27,18.99001503,10.08999062,91
13.27,18.90999794,10.05001259,91
12.71,18.83001137,9.950006485,91
12.71,18.80999184,10.12999916,91
12.71,18.74999428,10.12999916,91
12.71,18.79000282,10.40999794,91
12.71,18.80999184,10.3699894,92
12.71,18.8699894,10.4699955,92
12.16,18.92998695,10.42998695,92
12.16,18.92998695,10.51000404,92
12.16,18.99001503,10.51000404,92
12.16,18.99001503,10.51000404,92
12.16,18.99001503,10.42998695,95
12.16,18.89000893,10.55001259,95
12.16,18.85000038,10.40999794,95
12.16,18.8699894,10.5700016,95
12.16,18.8699894,10.3699894,95
12.16,18.85000038,10.3699894,95
12.16,18.85000038,10.3699894,100
12.16,18.83001137,10.3699894,100
11.6,18.83001137,10.3699894,100
11.6,18.79000282,10.02999306,100
11.6,18.74999428,9.890008926,100
11.6,18.64998817,9.850000381,100
11.6,1037.549927,9.709985733,100
11.6,18.29000282,9.629999161,100
11.6,18.01000404,9.610010147,100
11.6,17.77001381,9.49001503,100
11.6,17.61001015,9.429986954,100
11.6,17.4699955,9.49001503,100
11.05,17.33001137,9.390008926,100
11.05,17.23000526,9.390008926,100
11.05,1037.549927,9.189996719,100
11.05,17.12999916,9.110010147,100
11.05,17.05001259,9.149988174,100
10.49,17.08999062,9.110010147,100
10.49,17.14998817,9.189996719,100
10.49,17.14998817,9.209985733,100
10.49,1037.549927,9.209985733,100
10.49,1037.549927,9.209985733,100
10.49,17.05001259,9.249994278,100
10.49,17.02999306,9.249994278,100
10.49,1037.549927,9.330011368,100
10.49,16.99001503,9.330011368,100
10.49,17.05001259,9.330011368,100
10.49,17.14998817,9.390008926,100
10.49,17.24999428,9.49001503,100
10.49,17.39000893,9.529993057,100
10.49,17.49001503,9.49001503,100
10.49,17.61001015,9.529993057,100
10.49,17.68999672,9.529993057,100
10.49,17.79000282,9.670007706,100
10.49,17.85000038,9.749994278,100
10.49,17.85000038,9.809991837,100
10.49,17.90999794,9.950006485,100
10.49,17.95000648,10.02999306,100
10.49,17.95000648,10.08999062,100
10.49,17.99001503,10.12999916,100
10.49,17.99001503,10.17000771,100
10.49,18.05001259,10.12999916,100
10.49,18.05001259,10.08999062,100
10.49,18.08999062,10.17000771,100
10.49,18.08999062,10.17000771,100
10.49,18.01000404,10.08999062,100
10.49,18.01000404,10.08999062,100
10.49,18.0700016,10.02999306,100
10.49,18.0700016,10.02999306,100
10.49,17.99001503,9.950006485,100
10.49,18.08999062,10.08999062,100
10.49,17.9699955,9.809991837,100
10.49,17.9699955,9.670007706,100
9.93,17.92998695,9.950006485,100
9.93,17.90999794,9.850000381,100
9.93,17.89000893,9.90999794,100
9.93,17.85000038,9.749994278,100
9.93,17.89000893,9.709985733,100
9.93,17.8699894,9.809991837,100
9.93,17.8699894,9.770013809,100
9.93,17.92998695,9.709985733,100
9.93,17.90999794,9.850000381,100
9.93,17.90999794,9.99001503,100
9.93,17.89000893,10.02999306,100
9.93,17.90999794,10.08999062,100
9.93,17.95000648,10.17000771,100
9.93,17.9699955,10.30999184,100
10.49,17.9699955,10.33001137,100
10.49,17.9699955,10.18999672,100
10.49,17.95000648,10.23000526,99
10.49,17.92998695,10.05001259,99
10.49,17.92998695,9.950006485,99
10.49,17.85000038,9.950006485,99
10.49,17.89000893,10.02999306,99
10.49,17.79000282,10.27001381,99
10.49,17.79000282,10.33001137,99
10.49,17.79000282,10.55001259,99
11.05,17.8699894,10.61001015,99
11.05,17.95000648,10.85000038,99
11.05,18.01000404,10.92998695,99
11.05,18.11001015,10.92998695,99
11.05,18.18999672,11.08999062,99
11.05,18.24999428,11.02999306,99
11.05,18.29000282,11.20998573,99
11.05,18.3699894,11.23000526,99
11.05,18.40999794,11.27001381,99
11.05,18.51000404,11.30999184,99
11.05,18.52999306,11.33001137,99
11.05,18.61001015,11.40999794,99
11.05,18.67000771,11.45000648,99
11.05,18.68999672,11.4699955,99
11.05,18.77001381,11.55001259,99
11.05,18.80999184,11.51000404,99
11.05,18.85000038,11.5700016,99
11.05,18.8699894,11.45000648,99
11.05,18.92998695,11.5700016,99
11.05,18.9699955,11.64998817,99
11.05,18.9699955,11.61001015,99
11.05,18.9699955,11.5700016,99
11.05,18.9699955,11.55001259,90
11.05,18.9699955,11.67000771,90
11.05,18.9699955,11.5700016,90
11.05,18.99001503,11.64998817,90
11.05,18.99001503,11.70998573,90
11.05,19.05001259,11.67000771,90
11.05,19.01000404,11.64998817,90
11.05,19.0700016,11.74999428,90
11.05,19.11001015,11.80999184,90
11.05,19.18999672,11.79000282,90
11.05,19.27001381,11.61001015,90
11.05,19.27001381,11.64998817,90
11.05,19.29000282,11.64998817,90
11.05,19.30999184,11.5700016,90
11.05,19.33001137,11.55001259,90
11.05,19.42998695,11.64998817,90
11.05,19.35000038,11.5700016,90
11.05,19.3699894,11.45000648,90
11.05,19.3699894,11.3699894,90
11.05,19.35000038,11.45000648,90
11.05,19.30999184,11.33001137,90
11.05,19.24999428,11.33001137,90
11.05,19.29000282,11.55001259,90
11.05,19.27001381,11.51000404,90
10.49,19.23000526,11.51000404,90
10.49,19.29000282,11.5700016,90
10.49,19.27001381,11.67000771,90
10.49,19.24999428,11.67000771,90
10.49,19.23000526,11.74999428,90
10.49,19.20998573,11.70998573,90
10.49,19.20998573,11.89000893,92
10.49,19.18999672,11.89000893,92
10.49,19.20998573,12.02999306,92
10.49,19.24999428,12.08999062,92
10.49,19.29000282,12.05001259,92
10.49,19.30999184,12.02999306,92
10.49,19.30999184,11.99001503,92
10.49,19.30999184,11.95000648,92
11.05,19.30999184,11.79000282,92
10.49,19.29000282,11.64998817,92
11.05,19.29000282,11.64998817,92
11.05,19.23000526,11.4699955,92
11.05,19.20998573,11.30999184,92
11.05,19.12999916,11.17000771,92
11.05,19.02999306,11.0700016,99
11.05,18.89000893,10.99001503,92
11.05,18.83001137,11.08999062,92
11.05,18.73000526,10.92998695,92
11.05,18.67000771,10.95000648,92
11.05,18.62999916,10.95000648,92
11.05,18.58999062,10.85000038,92
11.05,18.52999306,10.79000282,92
11.05,18.45000648,10.85000038,92
11.05,18.40999794,10.70998573,92
11.05,18.3699894,10.79000282,92
11.05,18.45000648,10.92998695,99
11.05,18.45000648,10.85000038,99
11.05,18.42998695,10.83001137,99
11.05,18.40999794,10.79000282,99
11.05,18.39000893,10.74999428,99
11.05,18.35000038,10.61001015,100
11.05,18.29000282,10.70998573,100
11.05,18.23000526,10.61001015,100
10.49,18.23000526,10.61001015,100
10.49,18.17000771,10.64998817,100
10.49,18.14998817,10.42998695,100
10.49,18.11001015,10.55001259,100
10.49,18.0700016,10.5700016,100
10.49,18.08999062,10.51000404,100
10.49,18.05001259,10.5700016,100
10.49,18.08999062,10.5700016,100
10.49,18.12999916,10.5700016,100
10.49,18.14998817,10.55001259,100
10.49,18.12999916,10.64998817,100
10.49,18.17000771,10.5700016,100
10.49,18.12999916,10.51000404,100
10.49,18.11001015,10.4699955,100
10.49,18.0700016,10.4699955,100
10.49,18.08999062,10.55001259,100
10.49,1037.549927,10.5700016,100
10.49,17.9699955,10.51000404,100
10.49,17.92998695,10.64998817,100
10.49,17.90999794,10.61001015,100
10.49,17.95000648,10.61001015,100
10.49,17.8699894,10.61001015,100
10.49,17.77001381,10.4699955,100
10.49,1037.549927,10.55001259,100
10.49,17.68999672,10.4699955,100
10.49,17.70998573,10.5700016,100
10.49,17.67000771,10.61001015,100
10.49,17.74999428,10.61001015,100
10.49,17.68999672,10.61001015,100
10.49,17.67000771,10.64998817,100
10.49,17.64998817,10.51000404,100
10.49,17.55001259,10.42998695,100
10.49,1037.549927,10.55001259,100
10.49,17.4699955,10.5700016,100
10.49,17.42998695,10.5700016,100
10.49,17.40999794,10.61001015,100
10.49,17.45000648,10.68999672,100
10.49,17.42998695,10.61001015,100
10.49,17.4699955,10.55001259,100
10.49,1037.549927,10.40999794,100
10.49,1037.549927,10.5700016,100
10.49,17.45000648,10.5700016,100
10.49,17.49001503,10.55001259,100
10.49,17.49001503,10.68999672,100
10.49,17.52999306,10.64998817,100
10.49,17.67000771,10.64998817,100
10.49,17.73000526,10.61001015,100
10.49,17.77001381,10.64998817,100
10.49,17.85000038,10.64998817,100
10.49,17.92998695,10.79000282,100
10.49,17.9699955,10.79000282,100
10.49,18.01000404,10.74999428,100
10.49,18.12999916,10.79000282,100
10.49,18.17000771,10.83001137,100
10.49,18.18999672,10.79000282,100
10.49,18.23000526,10.79000282,100
10.49,18.20998573,10.83001137,100
10.49,18.24999428,10.83001137,100
10.49,18.29000282,10.85000038,100
10.49,18.30999184,10.83001137,100
10.49,18.24999428,10.79000282,100
10.49,18.29000282,10.68999672,100
10.49,18.23000526,10.70998573,100
10.49,18.20998573,10.74999428,100
10.49,18.18999672,10.79000282,100
10.49,18.18999672,10.89000893,100
10.49,18.12999916,10.85000038,100
10.49,18.12999916,10.83001137,100
10.49,18.12999916,10.79000282,100
10.49,18.11001015,10.70998573,100
10.49,18.08999062,10.68999672,100
10.49,17.99001503,10.51000404,100
10.49,17.90999794,10.51000404,100
10.49,17.8699894,10.64998817,100
10.49,17.79000282,10.64998817,100
10.49,17.77001381,10.68999672,100
10.49,17.79000282,10.70998573,100
10.49,17.85000038,10.74999428,100
10.49,17.8699894,10.68999672,100
10.49,17.89000893,10.64998817,100
10.49,17.8699894,10.5700016,100
10.49,17.8699894,10.68999672,100
10.49,17.89000893,10.64998817,100
10.49,17.90999794,10.61001015,100
10.49,17.85000038,10.70998573,100
10.49,17.89000893,10.61001015,100
10.49,17.89000893,10.68999672,100
10.49,17.89000893,10.64998817,100
10.49,17.89000893,10.5700016,100
10.49,17.89000893,10.5700016,100
10.49,17.8699894,10.61001015,100
10.49,17.85000038,10.5700016,100
10.49,17.83001137,10.55001259,100
10.49,17.83001137,10.55001259,100
10.49,17.92998695,10.68999672,100
10.49,17.92998695,10.70998573,100
10.49,1037.549927,10.70998573,100
10.49,17.90999794,10.68999672,100
10.49,17.89000893,10.68999672,100
10.49,17.8699894,10.61001015,100
10.49,17.89000893,10.74999428,100
10.49,17.95000648,10.79000282,100
10.49,18.01000404,10.83001137,100
10.49,17.99001503,10.70998573,100
10.49,17.9699955,10.79000282,100
10.49,17.8699894,10.68999672,100
10.49,17.79000282,10.70998573,100
10.49,17.79000282,10.68999672,100
10.49,17.83001137,10.70998573,100
10.49,17.90999794,10.83001137,100
10.49,17.9699955,10.89000893,100
11.05,18.0700016,10.95000648,100
11.05,18.18999672,11.08999062,100
11.05,18.30999184,10.99001503,100
11.05,18.35000038,10.95000648,100
11.05,18.42998695,10.95000648,100
11.05,18.51000404,10.99001503,100
11.05,18.39000893,10.85000038,100
11.05,18.30999184,10.95000648,100
11.05,18.23000526,10.83001137,100
11.05,18.12999916,10.89000893,100
11.05,18.05001259,10.83001137,100
11.05,17.92998695,10.64998817,100
11.05,17.8699894,10.74999428,100
11.05,17.83001137,10.74999428,100
11.05,1037.549927,10.64998817,100
11.05,17.73000526,10.64998817,100
11.05,1037.549927,10.64998817,100
11.05,17.62999916,10.68999672,100
11.05,17.62999916,10.61001015,100
11.05,17.58999062,10.64998817,100
11.05,17.61001015,10.64998817,100
11.05,17.61001015,10.61001015,100
11.05,17.61001015,10.64998817,100
11.05,17.52999306,10.68999672,100
11.05,17.52999306,10.68999672,100
11.05,17.55001259,10.79000282,100
11.05,17.61001015,10.74999428,100
11.05,17.73000526,10.74999428,100
11.05,1037.549927,10.79000282,100
